day,cases,countriesAndTerritories,popData2019
30,271,Afghanistan,38041757
29,351,Afghanistan,38041757
28,165,Afghanistan,38041757
27,276,Afghanistan,38041757
26,460,Afghanistan,38041757
25,234,Afghanistan,38041757
24,338,Afghanistan,38041757
23,310,Afghanistan,38041757
22,409,Afghanistan,38041757
21,546,Afghanistan,38041757
20,346,Afghanistan,38041757
19,658,Afghanistan,38041757
18,564,Afghanistan,38041757
17,783,Afghanistan,38041757
16,761,Afghanistan,38041757
15,664,Afghanistan,38041757
14,556,Afghanistan,38041757
13,656,Afghanistan,38041757
12,747,Afghanistan,38041757
11,684,Afghanistan,38041757
10,542,Afghanistan,38041757
9,575,Afghanistan,38041757
8,791,Afghanistan,38041757
7,582,Afghanistan,38041757
6,915,Afghanistan,38041757
5,787,Afghanistan,38041757
4,758,Afghanistan,38041757
3,759,Afghanistan,38041757
2,545,Afghanistan,38041757
1,680,Afghanistan,38041757
30,64,Albania,2862427
29,72,Albania,2862427
28,61,Albania,2862427
27,77,Albania,2862427
26,78,Albania,2862427
25,67,Albania,2862427
24,52,Albania,2862427
23,68,Albania,2862427
22,36,Albania,2862427
21,53,Albania,2862427
20,50,Albania,2862427
19,66,Albania,2862427
18,50,Albania,2862427
17,82,Albania,2862427
16,69,Albania,2862427
15,57,Albania,2862427
14,48,Albania,2862427
13,31,Albania,2862427
12,44,Albania,2862427
11,42,Albania,2862427
10,36,Albania,2862427
9,17,Albania,2862427
8,14,Albania,2862427
7,20,Albania,2862427
6,15,Albania,2862427
5,13,Albania,2862427
4,20,Albania,2862427
3,21,Albania,2862427
2,6,Albania,2862427
1,15,Albania,2862427
30,298,Algeria,43053054
29,305,Algeria,43053054
28,283,Algeria,43053054
27,240,Algeria,43053054
26,197,Algeria,43053054
25,172,Algeria,43053054
24,156,Algeria,43053054
23,149,Algeria,43053054
22,140,Algeria,43053054
21,127,Algeria,43053054
20,119,Algeria,43053054
19,117,Algeria,43053054
18,121,Algeria,43053054
17,116,Algeria,43053054
16,112,Algeria,43053054
15,109,Algeria,43053054
14,112,Algeria,43053054
13,109,Algeria,43053054
12,105,Algeria,43053054
11,102,Algeria,43053054
10,117,Algeria,43053054
9,111,Algeria,43053054
8,104,Algeria,43053054
7,115,Algeria,43053054
6,104,Algeria,43053054
5,205,Algeria,43053054
4,0,Algeria,43053054
3,113,Algeria,43053054
2,119,Algeria,43053054
1,127,Algeria,43053054
30,0,Andorra,76177
29,0,Andorra,76177
28,0,Andorra,76177
27,0,Andorra,76177
26,0,Andorra,76177
25,0,Andorra,76177
24,0,Andorra,76177
23,0,Andorra,76177
22,0,Andorra,76177
21,0,Andorra,76177
20,0,Andorra,76177
19,1,Andorra,76177
18,0,Andorra,76177
17,1,Andorra,76177
16,0,Andorra,76177
15,0,Andorra,76177
14,0,Andorra,76177
13,1,Andorra,76177
12,0,Andorra,76177
11,0,Andorra,76177
10,0,Andorra,76177
9,0,Andorra,76177
8,0,Andorra,76177
7,0,Andorra,76177
6,0,Andorra,76177
5,1,Andorra,76177
4,7,Andorra,76177
3,79,Andorra,76177
2,1,Andorra,76177
1,0,Andorra,76177
30,9,Angola,31825299
29,23,Angola,31825299
28,32,Angola,31825299
27,15,Angola,31825299
26,8,Angola,31825299
25,3,Angola,31825299
